source_lead_key,twenty_record_id,rank,priority,diversified_review_rank,fit_score,score_confidence,why_it_fits
discovered:ddd5e8b6-b9d4-4c01-ad0b-a5984129b9b9,b92c0bd3-0d0a-42e5-9da0-18b895f3093b,252,C,,57.7,LOW,"Closest client patterns: Industrial services, Municipal public works. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:bc0f1b29-520a-4fb7-94e0-f91b71aebf02,d2c74208-0051-4b1c-9028-b5b8ab8cb5fb,253,C,,57.7,LOW,"Closest client patterns: Home repair and trades, Industrial services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:a9700c55-7d21-480c-89f0-b8dde3c305f5,cc8feb38-bc16-4543-859b-e095d04efa9d,254,C,,57.7,MEDIUM,"Closest client patterns: Legal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:6d5fa84f-c8e0-4b35-ba58-79c37e322a95,d21436ec-d120-4a0c-9c8d-72f8c95e5bf8,255,C,,57.7,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:781bc390-2a35-4c37-ae5b-01677c66e9bb,ad187dc0-b1cc-452d-9f03-0902c14152ed,256,C,,57.7,MEDIUM,"Closest client patterns: Legal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:e36a0627-a567-4960-afaf-7bee7682938d,dd930a0c-22be-4197-9a2c-78c4b9567e79,257,C,,57.7,MEDIUM,"Closest client patterns: Veterinary and animal services, Healthcare providers. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:70c921e7-9b44-4e81-b8f8-de5db2212302,a973239e-18f1-4b26-8455-afe6cd4a5798,258,C,,57.7,LOW,"Closest client patterns: Municipal public works, Home repair and trades. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
official:74740382-3373-4443-9543-c9e53cc95ea5,2780865a-d883-4b33-beb5-807cbd440179,259,C,,57.6,LOW,"Closest client patterns: Home repair and trades, Industrial services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: T4, Google Business Profile, verified own site."
discovered:dbe9c5b5-e5f6-485d-aacb-3118bcd87461,90f20ed1-8061-4a71-b948-c9cb40a7af1b,260,C,,57.6,LOW,"Closest client patterns: Home repair and trades, Municipal public works. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:e97edf1a-8853-4501-bb51-59a9ba7cbb32,f75c5578-cb48-4629-a762-651c54b85fea,261,C,,57.5,MEDIUM,"Closest client patterns: Dental services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: license evidence, verified own site."
discovered:dd72636a-2f13-4305-a3b9-d7286e710cb3,3afe0a40-25bf-4db8-aaa2-28fea2bfcf9a,262,C,,57.5,HIGH,"Closest client patterns: Funeral services. Need signals: after hours coverage, customer support, on call escalation. Verification: verified own site."
discovered:b2607751-b5a4-4376-8d0f-366f1e72eec0,63f64306-c3df-4afb-ab86-f78036180868,263,C,,57.5,LOW,"Closest client patterns: Home repair and trades, Industrial services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:ad920282-f644-4d31-a2b5-1952dcd40c10,ecc9b194-b490-4a70-8704-cd0515b33887,264,C,,57.5,LOW,"Closest client patterns: Alarm and security services, Municipal public works. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: verified own site."
discovered:b11e7534-8ef7-4fc7-89d7-4ea77674fcc2,c6100516-1560-474e-bf60-10532209cad9,265,C,,57.4,MEDIUM,"Closest client patterns: Alarm and security services, Consumer services. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: license evidence, verified own site."
discovered:0c7e8c29-7787-4cad-b320-32ce99be02d3,e41aee5f-faac-4e85-828d-5b9b5cecb153,266,C,,57.4,MEDIUM,"Closest client patterns: Dental services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:3e4815a0-c802-4067-867a-29e384aaf2d7,c351df42-86f3-4a2b-a76f-5c33f5dd4f7f,267,C,,57.2,MEDIUM,"Closest client patterns: Legal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:75f06d26-17dd-486d-a774-6073a0e3f40d,24b23d1e-bf1b-4629-8cfa-602d27b71036,268,C,,57.1,MEDIUM,"Closest client patterns: Home repair and trades, Industrial services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: license evidence, verified own site."
discovered:71f854ee-e816-4c44-98ee-549096ef372e,8a9e4ef7-21c9-446c-8f66-061d79339f12,269,C,,57.1,LOW,"Closest client patterns: Home repair and trades, Behavioral health and counseling. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:dc6372ee-b3cf-4fa8-b816-c4ac33d6decf,98836966-d62f-467f-a515-dfeecb11b34d,270,C,,57.1,MEDIUM,"Closest client patterns: Home repair and trades, Industrial services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:5585988a-8e47-4cb5-a20d-a954e13f2860,e1e1bf01-c411-4759-b664-abbc14156000,271,C,,57.0,LOW,"Closest client patterns: Home repair and trades, Behavioral health and counseling. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:701f1989-4613-4def-890b-e5abdd31dd99,d87a5e77-2a72-4174-b0f9-88821172b247,272,C,,57.0,MEDIUM,"Closest client patterns: Religious organizations. Need signals: after hours coverage, appointment scheduling, bilingual demand. Verification: verified own site."
discovered:973049b1-2010-4b40-8dd0-84dec13ff706,e41c3f07-3766-46c1-8a0e-9d1b042e3d84,273,C,,57.0,LOW,"Closest client patterns: Home repair and trades, Behavioral health and counseling. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:22e640d7-766d-4cab-96d8-8176b7788ca7,b71377a0-ed12-49fc-b361-51b1bccfaf24,274,C,,57.0,MEDIUM,"Closest client patterns: Home repair and trades, Industrial services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:c5825183-8142-4a83-8eec-9d5b78a962de,2eb89534-334e-4f8b-8110-de55391436ba,275,C,,56.9,HIGH,"Closest client patterns: Alarm and security services, Industrial services. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: license evidence, verified own site."
discovered:b20e5a1f-0a23-4b2a-82f3-8872bb1c8dcd,e67675a7-42db-4010-beaa-7e062ddf120d,276,C,,56.8,LOW,"Closest client patterns: Industrial services, Mechanical and HVAC services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: license evidence, verified own site."
discovered:cd6d3b9d-cc3c-4ff1-91f3-8e1ae6ac9c10,16d88b7f-c02b-4759-9f3f-2d5dd8a6ce21,277,C,,56.8,HIGH,"Closest client patterns: Home repair and trades, Consumer services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:d7efadd1-25ff-47fe-9deb-9fef08df7790,4a9993ff-e65b-4f84-b9d7-4e4c016e960b,278,C,,56.6,LOW,"Closest client patterns: Religious organizations. Need signals: after hours coverage, appointment scheduling, bilingual demand. Verification: verified own site."
discovered:5fdb342b-ab77-4607-841f-ba2317794966,20c6ddd9-74c3-4aaa-a181-5b2255bf7d2c,279,C,,56.6,MEDIUM,"Closest client patterns: Alarm and security services, Elevator services. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: verified own site."
discovered:1f541784-702b-4a09-9fe4-4e8515e7604e,c5be1267-64b3-4826-a483-8a47349a1a8f,280,C,,56.6,MEDIUM,"Closest client patterns: Dental services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:4ae307b3-4989-42ef-83eb-e8deb7ad39d1,8986289d-bdba-48e9-b525-ee5a2f560827,281,C,,56.6,MEDIUM,"Closest client patterns: Dental services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:191a0ea8-2768-488c-93bb-73eb4a53551f,42e61ddf-36f0-41c5-ad4f-3c004a2be5c7,282,C,,56.6,HIGH,"Closest client patterns: Dental services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:c2d717b5-b3d2-47f5-9728-8884cb7401d7,7bdcf791-347f-4827-b747-0013f88e22fb,283,C,,56.6,MEDIUM,"Closest client patterns: Legal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:cfa9757e-f67e-4a31-9dee-f6b94bfced45,30260508-7706-4900-ae53-dee16486699d,284,C,,56.5,LOW,"Closest client patterns: Industrial services, Mechanical and HVAC services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:f2ccf991-0253-42c1-afeb-bb318d889bd4,1c985fbe-bf06-400d-94f5-b4206afa3be4,285,C,,56.4,LOW,"Closest client patterns: Home repair and trades, Municipal public works. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:e0c41701-6475-4890-8f24-d0372eb57be4,f91f7cd1-0e79-4d2d-91b7-8a2a10f323d4,286,C,,56.3,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: license evidence, verified own site."
discovered:d3e4473d-9669-4015-82c3-a699d36ce434,96403cff-7f33-4b9a-9638-84944a6ffc61,287,C,,56.3,MEDIUM,"Closest client patterns: Alarm and security services, Industrial services. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: license evidence, verified own site."
discovered:11ecbef4-8ff1-4088-a478-e43d9c3e026c,943f2e7c-63dd-4485-aae9-dddbb124f531,288,C,,56.3,LOW,"Closest client patterns: Home repair and trades, Municipal public works. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: license evidence, verified own site."
discovered:def0ad37-b7ea-4fec-b275-d526f6d541ad,969e2863-b465-4fbc-8b4a-3938794c8019,289,C,,56.3,MEDIUM,"Closest client patterns: Religious organizations. Need signals: after hours coverage, appointment scheduling, bilingual demand. Verification: license evidence, verified own site."
discovered:6437b1ea-ee8d-46aa-afce-dad1b1b2fe4c,1bdb390e-10a3-40db-84e1-87d72dc8be6e,290,C,,56.1,MEDIUM,"Closest client patterns: Home repair and trades, Industrial services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: license evidence, verified own site."
discovered:6f34093b-e319-43d5-914b-4182f2919904,87837abc-a475-4d76-9642-11bb20074914,291,C,,56.1,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: license evidence, verified own site."
discovered:6487c826-e947-41cf-8e7c-67a604f5efc6,d7962455-d79c-4953-99ad-a0320f54672d,292,C,,56.1,LOW,"Closest client patterns: Home repair and trades, Mechanical and HVAC services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: license evidence, verified own site."
discovered:e08bceec-66d7-4711-b34a-50370672f1cf,d9604b7d-4f39-4798-8512-abc7243fbd1a,293,C,,56.1,MEDIUM,"Closest client patterns: Alarm and security services, Consumer services. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: license evidence, verified own site."
discovered:1568111e-9daa-4ce6-a1df-8391a8b546a2,1529e2e1-60bf-4407-a82e-a4e730fc37ce,294,C,,56.1,MEDIUM,"Closest client patterns: Dental services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:46a13899-18f5-486f-80a5-2418e1a65b51,000ff46c-ea89-451b-b082-716a84008947,295,C,,56.1,LOW,"Closest client patterns: Alarm and security services, Consumer services. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: verified own site."
discovered:ce32feff-c905-496a-b37d-eac8c258cc1a,7bcd8afd-9a0b-49db-a8a7-60fe2eea1e06,296,C,,56.0,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: license evidence, verified own site."
discovered:79f1514f-5100-429c-979b-7ba341c940c7,0872a23f-6132-40b8-a1f8-fd40e2feb86c,297,C,,56.0,MEDIUM,"Closest client patterns: Home repair and trades, Municipal public works. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: license evidence, verified own site."
discovered:5e2d01ac-3883-4cf4-9f99-32c2258336d8,65e5dffd-a5af-4f2a-8d6d-10969fb123dc,298,C,,56.0,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: license evidence, verified own site."
discovered:e9d5fef6-73a3-4572-b115-39caf69bd7ab,248ce1ce-9a71-48aa-a7b3-b341a87cc2ae,299,C,,56.0,LOW,"Closest client patterns: Alarm and security services, Consumer services. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: verified own site."
discovered:08795aeb-3f5d-4825-b904-c3eaa4f4a473,76e30ac1-8ada-44a8-b3fa-50a17e4f90c4,300,C,,56.0,LOW,"Closest client patterns: Home repair and trades, Mechanical and HVAC services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:7db58719-6388-4f83-ae0f-d923944fada9,889c8274-6b09-491b-862c-893ab310c688,301,C,,55.9,HIGH,"Closest client patterns: Alarm and security services. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: license evidence, verified own site."
discovered:021dbc54-2b70-48ca-8f51-1709188388da,678607c0-bfb3-489f-8010-543e54c833a5,302,C,,55.9,LOW,"Closest client patterns: Home repair and trades, Healthcare providers. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:743c96b3-cb4d-417a-b2e1-9d3b20879934,71d54634-d102-4d69-8049-22ebacd10c97,303,C,,55.9,MEDIUM,"Closest client patterns: Dental services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:02114419-06e1-4484-8a19-9cbe63f2dcb3,9fce19c8-8ad3-4021-ba7e-230f3a5c8dab,304,C,,55.9,LOW,"Closest client patterns: Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:e90447c7-264b-411f-843e-e7288c8bcd7e,04176bac-55a0-4868-971c-43ba88a4faf6,305,C,,55.9,LOW,"Closest client patterns: Home repair and trades, Industrial services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:446939db-4a92-411b-814b-9b8562a33d23,b6449465-f7c3-4020-80fd-d392e17c4d8c,306,C,,55.9,MEDIUM,"Closest client patterns: Home repair and trades, Industrial services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:9b32e99b-df62-4321-8477-b65341623061,eb4e3e6e-a9d1-4621-a4ea-40cfdceb8b6c,307,C,,55.9,MEDIUM,"Closest client patterns: Dental services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:824f30bf-46ea-45e1-a06c-2b4ce56b9556,ca5af9cf-2b29-4a76-95e9-e33422df096a,308,C,,55.9,LOW,"Closest client patterns: Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:574848e4-aea2-46ab-8f40-7821184138e0,f9d69f3c-6d62-4af4-a175-f79a3ca88ecf,309,C,,55.8,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: license evidence, verified own site."
discovered:6cf6043f-6008-4eb0-b17c-43204411b046,837845ad-4aa6-46dd-a13a-dfc596827a69,310,C,,55.8,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: license evidence, verified own site."
discovered:b1f1a825-585c-4d6f-a4a6-e2a160c3b3f1,c58d7fad-fbae-4221-9f50-c494751c804f,311,C,,55.8,LOW,"Closest client patterns: Dental services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:0e38d5b4-77c8-4df4-b9c2-133322792ee4,cc74a16e-6451-4610-a2bd-6cc5e12c7689,312,C,,55.8,LOW,"Closest client patterns: Dental services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:11eafe6a-815d-4f37-9e67-31308fe8e39c,dac9e19c-d70d-4bea-9f36-20b39a15e1de,313,C,,55.8,LOW,"Closest client patterns: Alarm and security services, Consumer services. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: verified own site."
discovered:911a6f16-302b-43aa-a8bb-358e4d4b699b,aa2609f2-67c7-473e-b1be-1775e615223f,314,C,,55.8,MEDIUM,"Closest client patterns: Home repair and trades, Consumer services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:639915c9-ffca-44bd-aaba-525a6113c995,5c3b0a36-eb51-43ff-a177-a3bfec85da21,315,C,,55.7,LOW,"Closest client patterns: Alarm and security services, Consumer services. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: verified own site."
discovered:4978a8e2-e285-4d70-847c-325b4a308519,d618b962-f847-4f19-b767-8e84e0bd2b30,316,C,,55.6,MEDIUM,"Closest client patterns: Alarm and security services, Consumer services. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: license evidence, verified own site."
discovered:74a968cd-a8ea-4468-9997-b82ee7f66a77,2348bac9-73a3-4dd0-be62-0e9227126b18,317,C,,55.6,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: license evidence, verified own site."
discovered:6e91bd63-c445-4570-a865-ed06bc3a646e,f6603f4d-0064-4b6d-8b6a-fee2141cba63,318,C,,55.6,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: license evidence, verified own site."
discovered:f4b47852-2bec-4d28-991c-1bc5efe8ef12,75a09ab1-471d-48ac-bae6-7ee87f146707,319,C,,55.6,MEDIUM,"Closest client patterns: Home repair and trades, Industrial services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:9727e873-82d9-4f6c-b7e9-6bd98e2fe350,f113e6cd-38b1-4cf2-9eb6-d6072b57302b,320,C,,55.5,MEDIUM,"Closest client patterns: Dental services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:1f036fee-a79f-46d7-9251-7d122bacdb82,4642d260-561b-4eb1-a960-72953ebb9896,321,C,,55.4,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Home repair and trades. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:c1c861b2-cd27-4ca6-9f22-ff120386a489,880588fd-07f7-4467-8002-172d6bb7d95f,322,C,,55.3,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Home repair and trades. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:d980ba8b-6094-410a-a51a-2d2521b4d5a9,770431c0-84e8-4e70-a2d0-dc1fda891dde,323,C,,55.3,HIGH,"Closest client patterns: Home repair and trades, Industrial services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:b58f88ea-6ead-4faa-9099-33e8d5b9ec35,f38b9240-0ddb-4118-85a7-a13c16732a14,324,C,,55.2,MEDIUM,"Closest client patterns: Alarm and security services, Consumer services. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: license evidence, verified own site."
discovered:cb9f9e3a-0725-4ac9-bfdc-4bc90087f9be,d6014974-9720-4bb8-9b97-68fc44ba84fa,325,C,,55.2,MEDIUM,"Closest client patterns: Alarm and security services, Consumer services. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: license evidence, verified own site."
discovered:55a54add-5eb0-4375-a6a0-5cf64714cb75,75563da6-e5ef-44bd-88ba-09441f3c3def,326,C,,55.2,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:a5e610dc-1b93-443a-9a7f-988f0fb0217b,61a3ef89-08b7-4aca-95ce-db1b992dae01,327,C,,55.2,LOW,"Closest client patterns: Elevator services, Landscaping services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:2b638255-4077-4e33-942b-1c1095c337a5,631d4ddf-ee88-40c8-9691-42859aa41550,328,C,,55.1,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: license evidence, verified own site."
discovered:ae794c02-e543-4d23-92fc-2df2531282fe,02501fdf-d0ef-4bb5-9f77-3e4fe63b864d,329,C,,55.1,MEDIUM,"Closest client patterns: Funeral services. Need signals: after hours coverage, customer support, on call escalation. Verification: verified own site."
discovered:d210f27a-fa36-4815-8a3c-039b8cf8ecbd,1f276bfc-ebd0-4704-b866-580035a926f7,330,C,,55.1,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:496beb4a-2529-4ae3-a606-2940c3d8b74a,1fa0df98-d410-43c6-bd1f-4bbbbf727591,331,C,,55.1,MEDIUM,"Closest client patterns: Legal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:caac6597-9c02-45e4-9da0-23ab0e668949,633e20a6-aa6c-46f6-980a-fc2e9b7dab09,332,C,,55.0,LOW,"Closest client patterns: Home repair and trades, Behavioral health and counseling. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: license evidence, verified own site."
discovered:fdab96e0-a855-46a9-aec2-68ffb4c453dc,47a0a471-4dd6-4eb9-af2f-5aec96889b19,333,C,,55.0,LOW,"Closest client patterns: Home repair and trades, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:573bde6c-9986-43dd-b1f6-b06df43043a7,67014b1b-7886-4b4d-a6be-d992e6e559a5,334,C,,55.0,LOW,"Closest client patterns: Home repair and trades, Behavioral health and counseling. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:ea881245-d523-479d-8ca3-d347ef09006a,f25474b7-aaf4-4482-9f4b-c965744da984,335,C,,54.9,LOW,"Closest client patterns: Home repair and trades, Behavioral health and counseling. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: license evidence, verified own site."
discovered:048d1270-1030-4bc6-9fcb-cb7b3b8b6da9,60af8ab1-0be7-4993-8756-abde798bc541,336,C,,54.8,LOW,"Closest client patterns: Dental services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:dc847604-15cb-4ffa-ac0e-72ff7075809c,78ce10c8-39b6-4d10-ba1e-23d1567a2b16,337,C,,54.8,MEDIUM,"Closest client patterns: Home repair and trades, Consumer services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:85f46613-ada0-496f-b551-0be7e343d328,5b808a30-ae0b-4bae-adde-51948746d73f,338,C,,54.7,HIGH,"Closest client patterns: Alarm and security services. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: license evidence, verified own site."
discovered:fb2dd750-8e02-4381-8132-c428969f5810,c50cd8e7-9411-4c05-88d3-51ddd7754b0d,339,C,,54.7,LOW,"Closest client patterns: Behavioral health and counseling, Consumer services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:a5ef5a65-c0ad-4295-88ee-0dac32b125d4,0858a653-1dd1-4dd4-811c-7fc36f34f407,340,C,,54.7,LOW,"Closest client patterns: Industrial services, Mechanical and HVAC services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:4bff6861-43af-4f56-be45-92531847d1a0,11dfa7b9-52ae-468f-977f-89351ab9b161,341,C,,54.6,LOW,"Closest client patterns: Industrial services, Mechanical and HVAC services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:6c8fa7c0-f417-4410-82bc-7bfd59d7ac9e,eb8fc2a9-e03c-4ae0-9ffa-8561f3717a3e,342,C,,54.6,HIGH,"Closest client patterns: Legal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:fa257646-9e64-40f8-ae4d-c7ab61425cfc,6094f602-ee09-4888-9853-26ff879b32eb,343,C,,54.6,LOW,"Closest client patterns: Municipal public works, Home repair and trades. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:85b9962f-ff7a-4879-bf8b-926b25f30cc7,fa9ae6fd-8aed-404c-a0b3-7e4ed3356ea8,344,C,,54.6,MEDIUM,"Closest client patterns: Alarm and security services, Consumer services. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: verified own site."
discovered:0103f5e6-a53d-41f1-9fd2-deacc488488d,4cfc84f8-9feb-4941-97f3-b48191c827ce,345,C,,54.5,LOW,"Closest client patterns: Industrial services, Mechanical and HVAC services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:0bf68b72-fd11-460d-91d2-0ab219010665,6cf275a0-840c-487d-9f77-bcf397ddec06,346,C,,54.4,MEDIUM,"Closest client patterns: Alarm and security services, Consumer services. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: license evidence, verified own site."
discovered:0b12a99b-5a55-473d-8b6a-8fd2127901c2,d155c1f3-8716-445e-a5c4-b4f46dbd56c1,347,C,,54.3,LOW,"Closest client patterns: Home repair and trades, Industrial services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: license evidence, verified own site."
discovered:afc3a188-4adb-402f-9fd9-dee32bd7470e,176a5158-9de3-41ac-84dd-c903f6e01176,348,C,,54.3,HIGH,"Closest client patterns: Home repair and trades, Industrial services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:35428cf3-66c4-4d0b-9d33-10f9dabaf039,57d03b5c-146f-411f-810d-8ba144a84980,349,C,,54.3,LOW,"Closest client patterns: Industrial services, Mechanical and HVAC services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:20febc74-4b39-491f-9375-cb2a2df4509a,5a9f332d-c190-4297-9038-31cb09005fb2,350,C,,54.2,MEDIUM,"Closest client patterns: Home repair and trades, Consumer services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: license evidence, verified own site."
discovered:6a36214a-e729-42fc-b869-bd0c397a2e06,2d77bae0-cab7-4b1b-9db1-9d459ab457be,351,C,,54.2,LOW,"Closest client patterns: Municipal public works, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: license evidence, verified own site."
discovered:fbee3c73-9cc5-490e-8cf7-75943efae60c,cca6ae1c-1343-4af4-8fed-98726039d5d2,352,C,,54.2,MEDIUM,"Closest client patterns: Home repair and trades, Industrial services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: license evidence, verified own site."
discovered:543a2b3a-2abe-41a0-9d89-9b951c7cafce,b85ff838-8bec-4777-9c5f-8cf6c905b1e6,353,C,,54.1,MEDIUM,"Closest client patterns: Religious organizations, Behavioral health and counseling. Need signals: after hours coverage, appointment scheduling, bilingual demand. Verification: T4, Google Business Profile, verified own site."
discovered:e2e92866-f1ce-438c-a7c0-73a5700a422c,35c82b8a-6c98-40ed-9ded-92c8e7dede22,354,C,,54.1,LOW,"Closest client patterns: Alarm and security services, Consumer services. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: license evidence, verified own site."
discovered:43a6c98f-00eb-4e23-9da9-3c5663e9ba32,e45749a1-4fd3-45fa-8183-e523859fb574,355,C,,54.1,LOW,"Closest client patterns: Industrial services, Mechanical and HVAC services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:0fa39b6a-774e-4944-9a21-eff1e04cff5a,64702e5b-8692-4997-9542-813b355d5093,356,C,,54.1,HIGH,"Closest client patterns: Alarm and security services. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: verified own site."
